id,pr_nomLabel,nom_de_familleLabel,pays_de_nationalit_Label,date_de_naissance,date_de_mort,identifiant_Fichier_d_autorit__international_virtuel,_cole_des_chartesLabel,occupationLabel,dipl_me_universitaireLabel,distinction_re_ueLabel,domaine_d_activit_Label,th_se_de_doctorat,th_se_de_doctoratLabel
http://www.wikidata.org/entity/Q57445884,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q20851391,Jacques,,France,1891-08-20T00:00:00Z,1973-08-28T00:00:00.000Z,70073226,,,,,,,
http://www.wikidata.org/entity/Q2850174,Anita,Jalabert,France,1950-01-25T00:00:00Z,,17342222,Anita Guerreau-Jalabert,historien,,chevalier de la Légion d'honneur‎,Moyen Âge,http://www.wikidata.org/entity/Q43397853,Grammaire et culture profane à Fleury au Xe siècle
http://www.wikidata.org/entity/Q2871430,Auguste,,France,1815-04-23T00:00:00Z,1868-02-20T00:00:00.000Z,12413749,,,,,,,
http://www.wikidata.org/entity/Q743493,Siméon,Luce,France,1833-12-29T00:00:00Z,1892-12-14T00:00:00.000Z,22145072,Siméon Luce,historien,,chevalier de la Légion d'honneur‎,,http://www.wikidata.org/entity/Q43887675,Q43887675
http://www.wikidata.org/entity/Q743493,Siméon,Luce,France,1833-12-29T00:00:00Z,1892-12-14T00:00:00.000Z,22145072,Siméon Luce,archiviste,,chevalier de la Légion d'honneur‎,,http://www.wikidata.org/entity/Q43887675,Q43887675
http://www.wikidata.org/entity/Q3301297,Maurice,Prou,France,1861-12-28T00:00:00Z,1930-10-04T00:00:00.000Z,17293646,Maurice Prou,numismate,,officier de la Légion d'honneur,,http://www.wikidata.org/entity/Q43956527,Q43956527
http://www.wikidata.org/entity/Q3301297,Maurice,Prou,France,1861-12-28T00:00:00Z,1930-10-04T00:00:00.000Z,17293646,Maurice Prou,historien du droit,,officier de la Légion d'honneur,,http://www.wikidata.org/entity/Q43956527,Q43956527
http://www.wikidata.org/entity/Q2850174,Anita,Guerreau,France,1950-01-25T00:00:00Z,,17342222,Anita Guerreau-Jalabert,historien,,chevalier de la Légion d'honneur‎,Moyen Âge,http://www.wikidata.org/entity/Q43397853,Grammaire et culture profane à Fleury au Xe siècle
http://www.wikidata.org/entity/Q16222795,Georges,Tessier,France,1891-04-22T00:00:00Z,1967-12-07T00:00:00.000Z,46830162,Georges Tessier,historien,archiviste paléographe,officier de la Légion d'honneur,,http://www.wikidata.org/entity/Q43759797,Q43759797
http://www.wikidata.org/entity/Q16222795,Georges,Tessier,France,1891-04-22T00:00:00Z,1967-12-07T00:00:00.000Z,46830162,Georges Tessier,historien,archiviste paléographe,commandeur des Palmes académiques,,http://www.wikidata.org/entity/Q43759797,Q43759797
http://www.wikidata.org/entity/Q16222795,Georges,Tessier,France,1891-04-22T00:00:00Z,1967-12-07T00:00:00.000Z,46830162,Georges Tessier,médiéviste,archiviste paléographe,officier de la Légion d'honneur,,http://www.wikidata.org/entity/Q43759797,Q43759797
http://www.wikidata.org/entity/Q16222795,Georges,Tessier,France,1891-04-22T00:00:00Z,1967-12-07T00:00:00.000Z,46830162,Georges Tessier,médiéviste,archiviste paléographe,commandeur des Palmes académiques,,http://www.wikidata.org/entity/Q43759797,Q43759797
http://www.wikidata.org/entity/Q28772035,Patrick,,France,1962-10-25T00:00:00Z,,41911346,,,,,,,
http://www.wikidata.org/entity/Q3439046,Roger,,France,1874-09-03T00:00:00Z,1962-05-26T00:00:00.000Z,51817871,,,,,,,
http://www.wikidata.org/entity/Q3386153,Pierre,Marot,France,1900-12-15T00:00:00Z,1992-11-28T00:00:00.000Z,115948081,Pierre Marot,historien,,officier des Arts et des Lettres‎,,http://www.wikidata.org/entity/Q43758789,Q43758789
http://www.wikidata.org/entity/Q3386153,Pierre,Marot,France,1900-12-15T00:00:00Z,1992-11-28T00:00:00.000Z,115948081,Pierre Marot,historien,,commandeur de la Légion d'honneur‎,,http://www.wikidata.org/entity/Q43758789,Q43758789
http://www.wikidata.org/entity/Q3386153,Pierre,Marot,France,1900-12-15T00:00:00Z,1992-11-28T00:00:00.000Z,115948081,Pierre Marot,historien,,commandeur des Palmes académiques,,http://www.wikidata.org/entity/Q43758789,Q43758789
http://www.wikidata.org/entity/Q3386153,Pierre,Marot,France,1900-12-15T00:00:00Z,1992-11-28T00:00:00.000Z,115948081,Pierre Marot,historien,,commandeur de l'ordre national du Mérite,,http://www.wikidata.org/entity/Q43758789,Q43758789
http://www.wikidata.org/entity/Q3367657,Pascale,,France,1947-02-08T00:00:00Z,,68926087,,,,,,,
http://www.wikidata.org/entity/Q28543803,François,Ploton,France,1980-01-31T00:00:00Z,,106845653,François Ploton-Nicollet,philologue,,concours général,,http://www.wikidata.org/entity/Q42534419,Opera Fl. Merobavdis v. spect. Pro imperio et pro Deo
http://www.wikidata.org/entity/Q28543803,François,Ploton,France,1980-01-31T00:00:00Z,,106845653,François Ploton-Nicollet,numismate,,concours général,,http://www.wikidata.org/entity/Q42534419,Opera Fl. Merobavdis v. spect. Pro imperio et pro Deo
http://www.wikidata.org/entity/Q28543803,François,Ploton,France,1980-01-31T00:00:00Z,,106845653,François Ploton-Nicollet,latiniste,,concours général,,http://www.wikidata.org/entity/Q42534419,Opera Fl. Merobavdis v. spect. Pro imperio et pro Deo
http://www.wikidata.org/entity/Q1338383,Emmanuel,Poulle,France,1928-06-08T00:00:00Z,2011-08-01T00:00:00.000Z,54152914,Emmanuel Poulle,historien,,officier de la Légion d'honneur,,http://www.wikidata.org/entity/Q43563346,Q43563346
http://www.wikidata.org/entity/Q1338383,Emmanuel,Poulle,France,1928-06-08T00:00:00Z,2011-08-01T00:00:00.000Z,54152914,Emmanuel Poulle,historien,,officier des Arts et des Lettres‎,,http://www.wikidata.org/entity/Q43563346,Q43563346
http://www.wikidata.org/entity/Q1338383,Emmanuel,Poulle,France,1928-06-08T00:00:00Z,2011-08-01T00:00:00.000Z,54152914,Emmanuel Poulle,historien,,commandeur des Palmes académiques,,http://www.wikidata.org/entity/Q43563346,Q43563346
http://www.wikidata.org/entity/Q1338383,Emmanuel,Poulle,France,1928-06-08T00:00:00Z,2011-08-01T00:00:00.000Z,54152914,Emmanuel Poulle,archiviste,,officier de la Légion d'honneur,,http://www.wikidata.org/entity/Q43563346,Q43563346
http://www.wikidata.org/entity/Q1338383,Emmanuel,Poulle,France,1928-06-08T00:00:00Z,2011-08-01T00:00:00.000Z,54152914,Emmanuel Poulle,archiviste,,officier des Arts et des Lettres‎,,http://www.wikidata.org/entity/Q43563346,Q43563346
http://www.wikidata.org/entity/Q1338383,Emmanuel,Poulle,France,1928-06-08T00:00:00Z,2011-08-01T00:00:00.000Z,54152914,Emmanuel Poulle,archiviste,,commandeur des Palmes académiques,,http://www.wikidata.org/entity/Q43563346,Q43563346
http://www.wikidata.org/entity/Q1338383,Emmanuel,Poulle,France,1928-06-08T00:00:00Z,2011-08-01T00:00:00.000Z,54152914,Emmanuel Poulle,médiéviste,,officier de la Légion d'honneur,,http://www.wikidata.org/entity/Q43563346,Q43563346
http://www.wikidata.org/entity/Q1338383,Emmanuel,Poulle,France,1928-06-08T00:00:00Z,2011-08-01T00:00:00.000Z,54152914,Emmanuel Poulle,médiéviste,,officier des Arts et des Lettres‎,,http://www.wikidata.org/entity/Q43563346,Q43563346
http://www.wikidata.org/entity/Q1338383,Emmanuel,Poulle,France,1928-06-08T00:00:00Z,2011-08-01T00:00:00.000Z,54152914,Emmanuel Poulle,médiéviste,,commandeur des Palmes académiques,,http://www.wikidata.org/entity/Q43563346,Q43563346
http://www.wikidata.org/entity/Q3288405,Marc,Smith,Royaume-Uni,1963-07-25T00:00:00Z,,2493603,Marc Smith,historien,,,,http://www.wikidata.org/entity/Q43305291,La France et sa civilisation vues par les Italiens au XVIe siècle
http://www.wikidata.org/entity/Q3288405,Marc,Smith,Royaume-Uni,1963-07-25T00:00:00Z,,2493603,Marc Smith,paléographe,,,,http://www.wikidata.org/entity/Q43305291,La France et sa civilisation vues par les Italiens au XVIe siècle
